"","uid","study_id","species_name","taxon","origin","location","study_type","life_history_stage","sex","stressor_name","stressor_type","duration","fitness_name","fitness_type","gc_measurement","mean_gc_low","se_gc_low","mean_gc_high","se_gc_high","mean_fitness_low","se_fitness_low","mean_fitness_high","se_fitness_high","n_gc_low","n_gc_high","n_fitness_low","n_fitness_high","fitness_reversed","authors","yr","journal","article_title"
"96",107,171,"pagrus_pagrus","fish","captive","lab","experimental","juvenile","both","food_limitation","food_limitation","days","weight","body_condition","total",8.16,1.21,6.6,1.37,101.08,4.7,91.75,7.18,1,1,NA,NA,"no","Laiz-Carrion et al.",2012,"Aquaculture International","Influence of food deprivation and high stocking density on energetic metabolism and stress response in red porgy, Pagrus pagrus L"
"97",108,171,"pagrus_pagrus","fish","captive","lab","experimental","juvenile","both","stocking_density","density","days","weight","body_condition","total",8.16,1.17,18.59,0.86,101.08,4.7,99.02,6.42,1,1,NA,NA,"no","Laiz-Carrion et al.",2012,"Aquaculture International","Influence of food deprivation and high stocking density on energetic metabolism and stress response in red porgy, Pagrus pagrus L"
"98",109,172,"salmo_salar","fish","captive","lab","experimental","juvenile","both","stocking_density","density","weeks","lysozyme_activity","immune_function","total",14.95,0.502,22.35,0.75,1.9,0.1,1.77,0.15,3,3,NA,NA,"no","Liu et al.",2015,"Marine and Freshwater Behaviour and Physiology","The effect of stocking density on growth and seven physiological parameters with assessment of their potential as stress response indicators for the Atlantic salmon ( <i>Salmo salar</i> )"
"99",110,172,"salmo_salar","fish","captive","lab","experimental","juvenile","both","stocking_density","density","weeks","growth_rate","body_condition","total",14.95,0.502,22.35,0.75,107.36,0.36,103.24,0.75,3,3,NA,NA,"no","Liu et al.",2015,"Marine and Freshwater Behaviour and Physiology","The effect of stocking density on growth and seven physiological parameters with assessment of their potential as stress response indicators for the Atlantic salmon ( <i>Salmo salar</i> )"
"100",111,173,"fratercula_arctica","birds","wild","field","experimental","reproductive","both","food_supplementation","food_limitation","years","mass_gain","body_condition","total",13.66,0.76,17.2,1.31,7.95,0.3,4.58,0.36,51,48,NA,NA,"no","Fitzsimmons et al.",2017,"Marine Ecology Progress Series","High growth and low corticosterone in food-supplemented Atlantic puffin Fratercula arctica chicks under poor foraging conditions"
"101",113,175,"gadus_morhua","fish","captive","lab","experimental","juvenile","both","stocking_density","density","days","hematocrit","immune_function","baseline",5,2.5,16,6.8,22.7,0.87,23.22,1.17,6,6,NA,NA,"no","Olsen et al.",2008,"Aquaculture","The acute stress response in fed and food deprived Atlantic cod, Gadus morhua L."
"102",114,175,"gadus_morhua","fish","captive","lab","experimental","juvenile","both","stocking_density","density","days","blood_glucose","body_condition","baseline",5,2.5,16,6.8,2.76,0.19,4.28,0.19,6,6,NA,NA,"yes","Olsen et al.",2008,"Aquaculture","The acute stress response in fed and food deprived Atlantic cod, Gadus morhua L."
"103",115,176,"streptopelia_decaocto","birds","wild","field","experimental","juvenile","both","nestmate_presence","density","days","wing_web_index","body_condition","baseline",2.86,0.31,1.87,0.22,3.13,0.15,2.3,0.1,10,37,13,33,"no","Eraud et al.",2008,"General and Comparative endocrinology","Competition for resources modulates cell-mediated immunity and stress hormone level in nestling collared doves (Streptopelia decaocto)"
"104",116,177,"sturnus_unicolor","birds","wild","field","experimental","juvenile","male","brood_size","density","days","body_mass","body_condition","total",48.95,13.17,59.48,8.42,88.57,2,80.29,1.71,16,17,NA,NA,"no","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)"
"105",117,177,"sturnus_unicolor","birds","wild","field","experimental","juvenile","male","brood_size","density","days","cell_immune_response","immune_function","total",48.95,13.17,59.48,8.42,1.54,0.14,1.26,0.08,16,17,NA,NA,"no","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)"
"106",118,177,"sturnus_unicolor","birds","wild","field","experimental","juvenile","female","brood_size","density","days","body_mass","body_condition","total",21.58,12.63,72.63,8.44,84.29,2.29,74.57,1.43,16,17,NA,NA,"no","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)"
"107",119,177,"sturnus_unicolor","birds","wild","field","experimental","juvenile","female","brood_size","density","days","cell_immune_response","immune_function","total",21.58,12.63,72.63,8.44,1.57,0.1,1.17,0.07,16,17,NA,NA,"no","Gil et al.",2008,"Hormones and Behavior","Increased sibling competition does not increase testosterone or corticosterone levels in nestlings of the spotless starling (Sturnus unicolor)"
"108",120,178,"rhamidia_quelen","fish","captive","lab","experimental","adult","both","fasting","food_limitation","days","blood_glucose","body_condition","total",30,7.4,161.1,19.9,55,19.2,50.7,16.9,4,4,NA,NA,"yes","Barcellos  et al.",2010,"Aquaculture","The effects of fasting on cortisol, blood glucose and liver and muscle glycogen in adult jundiá Rhamdia quelen"
"109",121,179,"salmo_salar","fish","captive","lab","experimental","juvenile","female","crowding","density","weeks","wet_weight","body_condition","baseline",11.61,2.62,34.18,6.56,170.15,4.16,156.74,1.7,3,6,NA,NA,"no","Basrur et  al.",2010,"Fish Physiology & Biochemistry","Effects of repeated crowding on the stress response and growth performance in Atlantic salmon (Salmo salar)"
