"","uid","study_id","species_name","taxon","origin","location","study_type","life_history_stage","sex","stressor_name","stressor_type","duration","fitness_name","fitness_type","gc_measurement","mean_gc_low","se_gc_low","mean_gc_high","se_gc_high","mean_fitness_low","se_fitness_low","mean_fitness_high","se_fitness_high","n_gc_low","n_gc_high","n_fitness_low","n_fitness_high","fitness_reversed","authors","yr","journal","article_title"
"42",42,90,"tamiasciurus_hudsonicus","mammals","wid","field","experimental","reproductive","female","conspecific_density","density","years","pup_growth_rate","reproductive_success","total",6.79,0.1,7.29,0.074,1.52,0.026,2.149,0.068,97,66,12,15,"no","Dantzer et al. 2013",2013,"Science","Density Triggers Maternal Hormones That Increase Adaptive Offspring Growth in a Wild Mammal"
"43",43,95,"clupea_harengus","fish","wild","field","experimental",NA,"both","conspecific_density","density","minutes ","blood_glucose","body_condition","total",166.76,45,591.14,64.51,6.51,0.25,5.84,0.6,8,8,8,8,"no","Tenningen et al.",2012,"Ices Journal of Marine Science ","The response of herring to high crowding densities in purse-seines: survival and stress reaction"
"44",44,97,"taeniopygia_guttata","birds","captive","lab","experimental","reproductive","both","conspecific_density","density","weeks","body_mass_adults","body_condition","total",1775.88,286,1535.96,174,20.25,0.65,19.14,0.51,20,20,NA,NA,"no","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries"
"45",45,97,"taeniopygia_guttata","birds","captive","lab","experimental","reproductive","both","conspecific_density","density","weeks","body_mass_offspring","reproductive_success","total",1775.88,286,1535.96,174,18.17,0.34,16.81,0.27,20,20,NA,NA,"no","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries"
"46",46,97,"taeniopygia_guttata","birds","captive","lab","experimental","reproductive","both","conspecific_density","density","weeks","tarsus_length_offspring","reproductive_success","total",1775.88,286,1535.96,174,15.67,0.12,15.15,0.12,20,20,NA,NA,"no","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries"
"47",47,97,"taeniopygia_guttata","birds","captive","lab","experimental","juvenile","both","brood_size","density","weeks","body_mass","body_condition","total",5000,1411.66,11510.03,4108.6,14.54,0.56,13.84,0.71,12,10,NA,NA,"no","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries"
"48",48,97,"taeniopygia_guttata","birds","captive","lab","experimental","juvenile","both","brood_size","density","weeks","tarsus_length","body_condition","total",5000,1411.66,11510.03,4108.6,15.19,0.25,14.74,0.26,12,10,NA,NA,"no","Poot, H et al.",2012,"Physiology and behaviour","Behavioural and physiological effects of population density on domesticated Zebra Finches (Taeniopygia guttata) held in aviaries"
"49",49,104,"microtus_oeconomus","mammals","wild","field","experimental","adult","both","conspecific_density","density","weeks","minumum_number_known_to_be_alive","survival","total",6.36,0.9,8.35,0.23,0.475,0.025,0.355,0.025,24,120,2,2,"no","Bian, JH et al, ",2011,"OIKOS","Does maternal stress influence winter survival of offspring in root voles Microtus oeconomus? A field experiment "
"50",50,104,"microtus_oeconomus","mammals","wild","field","experimental","adult","both","conspecific_density","density","weeks","offspring_apparent_survival_probability","reproductive_success","total",6.36,0.9,8.35,0.23,0.99,0.025,0.94,0.045,24,120,2,2,"no","Bian, JH et al, ",2011,"OIKOS","Does maternal stress influence winter survival of offspring in root voles Microtus oeconomus? A field experiment "
"51",51,105,"alle_alle","birds","wild","field","observational","adult","both","foraging_conditions","food_limitation","months ","adult_body_mass_greenland","body_condition","total",0.229,0.017,0.29,0.022,157.432,1.419,151.014,1.014,153,171,57,71,"no","Harding et al.",2011,"OECOLOGIA","Adverse foraging conditions may inpact body mass and survival of a high Arctic seabird"
