"","WOS number","Measured GCs","Measured fitness","Fitness implications of GCs","usable","Notes","Authors","Year","Journal","Article","Keyword set"
"26",44,"y","n","y","y",NA,"Ordonez-Gomez et al.",2016,"PLOS ONE","Proximal and Distal Predictors of the Spider Monkey's Stress Levels in Fragmented Landscapes","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"27",47,"y","n","y","y",NA,"Molnar et al.",2015,"PLOS ONE","Environmental and Intrinsic Correlates of Stress in Free-Ranging Wolves","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"28",50,"y","y","y","y",NA,"Stabach et al.",2015,"Biological Conservation","Habitat disturbance effects on the physiological stress response in resident Kenyan white-bearded wildebeest (Connochaetes taurinus)","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"29",54,"y","n","y","y",NA,"Tennesen et al.",2014,"Conservation Physiology","Traffic noise causes physiological stress and impairs breeding migration behaviour in frogs","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"30",55,"y","n","y","y",NA,"Fairhurst et al.",2013,"Oecologia","Can synchronizing feather-based measures of corticosterone and stable isotopes help us better understand habitat-physiology relationships?","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"31",56,"y","y","n","y",NA,"Graham et al.",2013,"General and comparative endocrinology","Non-invasive monitoring of glucocorticoid physiology within highland and lowland populations of native Australian Great Barred Frog (Mixophyes fasciolatus)","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"32",58,"y","n","y","y",NA,"Eggermann et al.",2013,"Annales Zoologici Fennici","Stress-hormone levels of wolves in relation to breeding season, pack size, human activity, and prey density","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"33",59,"y","y","y","y",NA,"Powell et al.",2011,"General and comparative endocrinology","Characterizing gonadal and adrenal activity by fecal steroid analyses in pygmy rabbits (Brachylagus idahoensis)","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"34",60,"y","n","n","y",NA,"Foerster and Monfort",2010,"Hormones and Behaviour","Fecal glucocorticoids as indicators of metabolic stress in female Sykes' monkeys (Cercopithecus mitis albogularis)","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
"35",64,"y","n","y","y",NA,"Larson et al.",2009,"Marine Mammal Science","Stress-related hormones and genetic diversity in sea otters (Enhydra lutris)","glucocorticoid* AND fitness AND conservation 2009-01-01 to 2022-07-31"
